periodo_txt,periodo,fecha,alim_indice,general_indice,ajuste_pp,ipc_alim_m,ipc_general_m,brecha_m
dic-05,2005-12,2005-12-01,41.7,54.1,,-1.6509433962264008,-0.5514705882352922,-1.0994728079911087
ene-06,2006-01,2006-01-01,43.0,54.8,,3.1175059952038398,1.2939001848428777,1.823605810360962
feb-06,2006-02,2006-02-01,43.9,55.5,,2.0930232558139528,1.277372262773735,0.8156509930402178
mar-06,2006-03,2006-03-01,45.4,56.3,,3.4168564920273425,1.4414414414414267,1.9754150505859158
abr-06,2006-04,2006-04-01,45.7,56.5,12.0,0.6607929515418665,0.355239786856143,0.30555316468572347
may-06,2006-05,2006-05-01,44.9,56.3,,-1.7505470459518668,-0.3539823008849585,-1.3965647450669083
jun-06,2006-06,2006-06-01,43.9,56.1,,-2.2271714922049046,-0.3552397868561208,-1.8719317053487838
jul-06,2006-07,2006-07-01,43.5,56.0,,-0.9111617312072884,-0.17825311942959443,-0.732908611777694
ago-06,2006-08,2006-08-01,43.5,56.1,,0.0,0.17857142857142794,-0.17857142857142794
sept-06,2006-09,2006-09-01,45.2,57.0,,3.9080459770115095,1.6042780748663166,2.303767902145193
oct-06,2006-10,2006-10-01,47.6,58.1,,5.309734513274322,1.9298245614035148,3.3799099518708076
nov-06,2006-11,2006-11-01,49.9,59.2,,4.8319327731092265,1.8932874354561147,2.938645337653112
dic-06,2006-12,2006-12-01,53.3,60.8,,6.813627254509025,2.7027027027026973,4.1109245518063275
ene-07,2007-01,2007-01-01,51.9,60.2,,-2.6266416510318913,-0.9868421052631526,-1.6397995457687387
feb-07,2007-02,2007-02-01,51.4,60.0,,-0.9633911368015391,-0.33222591362126463,-0.6311652231802745
mar-07,2007-03,2007-03-01,50.4,59.5,,-1.945525291828798,-0.8333333333333304,-1.1121919584954676
abr-07,2007-04,2007-04-01,51.6,60.0,,2.3809523809523947,0.8403361344537785,1.5406162464986162
may-07,2007-05,2007-05-01,52.1,60.3,,0.9689922480620172,0.49999999999998934,0.4689922480620279
jun-07,2007-06,2007-06-01,50.8,59.9,,-2.49520153550864,-0.6633499170812573,-1.8318516184273825
jul-07,2007-07,2007-07-01,51.1,60.2,,0.5905511811023612,0.5008347245408995,0.08971645656146165
ago-07,2007-08,2007-08-01,54.9,62.2,,7.4363992172211235,3.322259136212624,4.114140081008499
sept-07,2007-09,2007-09-01,56.0,62.8,,2.0036429872495543,0.9646302250803762,1.039012762169178
oct-07,2007-10,2007-10-01,60.4,65.1,10.0,7.857142857142851,3.6624203821655987,4.194722474977253
nov-07,2007-11,2007-11-01,56.7,63.6,,-6.125827814569529,-2.304147465437778,-3.8216803491317513
dic-07,2007-12,2007-12-01,58.2,64.5,,2.645502645502651,1.4150943396226356,1.2304083058800153
ene-08,2008-01,2008-01-01,60.2,65.5,,3.436426116838498,1.5503875968992276,1.8860385199392704
feb-08,2008-02,2008-02-01,61.0,66.3,,1.3289036544850363,1.2213740458015154,0.1075296086835209
mar-08,2008-03,2008-03-01,61.7,66.8,,1.1475409836065653,0.7541478129713397,0.3933931706352256
abr-08,2008-04,2008-04-01,62.7,67.3,,1.620745542949753,0.7485029940119681,0.872242548937785
may-08,2008-05,2008-05-01,61.9,67.2,,-1.2759170653907526,-0.14858841010400026,-1.1273286552867523
jun-08,2008-06,2008-06-01,63.2,68.0,,2.1001615508885463,1.1904761904761862,0.90968536041236
jul-08,2008-07,2008-07-01,63.6,68.3,,0.6329113924050667,0.4411764705882337,0.19173492181683294
ago-08,2008-08,2008-08-01,64.2,68.7,,0.9433962264151052,0.5856515373352966,0.3577446890798086
sept-08,2008-09,2008-09-01,63.2,68.5,,-1.5576323987538943,-0.29112081513829047,-1.2665115836156038
oct-08,2008-10,2008-10-01,61.8,68.7,,-2.2151898734177333,0.29197080291971655,-2.50716067633745
nov-08,2008-11,2008-11-01,61.6,68.9,,-0.3236245954692518,0.29112081513829047,-0.6147454106075423
dic-08,2008-12,2008-12-01,62.5,69.3,,1.4610389610389518,0.5805515239477366,0.8804874370912152
ene-09,2009-01,2009-01-01,63.2,69.4,,1.1200000000000099,0.14430014430015792,0.975699855699852
feb-09,2009-02,2009-02-01,62.5,69.2,,-1.1075949367088667,-0.2881844380403509,-0.8194104986685158
mar-09,2009-03,2009-03-01,61.4,69.1,,-1.760000000000006,-0.14450867052023808,-1.615491329479768
abr-09,2009-04,2009-04-01,60.6,68.7,,-1.3029315960912058,-0.5788712011577268,-0.724060394933479
may-09,2009-05,2009-05-01,60.4,68.7,5.0,-0.330033003300334,0.0,-0.330033003300334
jun-09,2009-06,2009-06-01,62.0,69.2,,2.6490066225165476,0.727802037845704,1.9212045846708437
jul-09,2009-07,2009-07-01,61.0,69.1,,-1.6129032258064502,-0.14450867052023808,-1.468394555286212
ago-09,2009-08,2009-08-01,62.8,69.8,,2.950819672131133,1.013024602026058,1.937795070105075
sept-09,2009-09,2009-09-01,63.6,70.0,,1.273885350318471,0.2865329512893977,0.9873523990290733
oct-09,2009-10,2009-10-01,65.2,70.6,,2.515723270440251,0.8571428571428452,1.6585804132974058
nov-09,2009-11,2009-11-01,64.1,70.3,,-1.6871165644171904,-0.4249291784702458,-1.2621873859469446
dic-09,2009-12,2009-12-01,65.3,70.6,,1.8720748829953227,0.426742532005675,1.4453323509896476
ene-10,2010-01,2010-01-01,67.0,71.3,,2.6033690658499253,0.9915014164306069,1.6118676494193185
feb-10,2010-02,2010-02-01,66.0,71.2,,-1.4925373134328401,-0.14025245441794398,-1.3522848590148961
mar-10,2010-03,2010-03-01,67.1,71.9,,1.6666666666666607,0.9831460674157411,0.6835205992509197
abr-10,2010-04,2010-04-01,68.5,72.5,,2.086438152011927,0.8344923504867818,1.251945801525145
may-10,2010-05,2010-05-01,66.3,71.8,,-3.2116788321167933,-0.96551724137931,-2.2461615907374832
jun-10,2010-06,2010-06-01,66.8,72.2,,0.7541478129713397,0.5571030640668662,0.19704474890447354
jul-10,2010-07,2010-07-01,66.5,72.3,7.000000000000001,-0.44910179640718084,0.13850415512464131,-0.5876059515318222
ago-10,2010-08,2010-08-01,67.8,72.9,,1.9548872180451093,0.8298755186722184,1.125011699372891
sept-10,2010-09,2010-09-01,66.6,72.7,,-1.7699115044247815,-0.2743484224965731,-1.4955630819282084
oct-10,2010-10,2010-10-01,70.6,74.3,,6.006006006006004,2.2008253094910613,3.8051806965149426
nov-10,2010-11,2010-11-01,70.3,74.6,,-0.4249291784702458,0.40376850605652326,-0.8286976845267691
dic-10,2010-12,2010-12-01,72.6,75.7,,3.271692745376953,1.4745308310992078,1.797161914277745
ene-11,2011-01,2011-01-01,75.2,76.9,,3.581267217630857,1.5852047556142779,1.996062462016579
feb-11,2011-02,2011-02-01,77.3,78.0,,2.792553191489344,1.4304291287386084,1.3621240627507358
mar-11,2011-03,2011-03-01,79.9,79.3,,3.363518758085382,1.6666666666666607,1.6968520914187213
abr-11,2011-04,2011-04-01,79.4,79.0,10.0,-0.6257822277847325,-0.3783102143757877,-0.24747201340894476
may-11,2011-05,2011-05-01,79.0,79.0,,-0.5037783375314908,0.0,-0.5037783375314908
jun-11,2011-06,2011-06-01,76.4,78.6,,-3.2911392405063244,-0.5063291139240533,-2.784810126582271
jul-11,2011-07,2011-07-01,75.9,78.6,,-0.654450261780104,0.0,-0.654450261780104
ago-11,2011-08,2011-08-01,78.1,79.4,,2.898550724637672,1.0178117048346147,1.8807390198030571
sept-11,2011-09,2011-09-01,78.0,79.5,,-0.1280409731113874,0.12594458438286438,-0.2539855574942518
oct-11,2011-10,2011-10-01,75.7,78.9,,-2.9487179487179493,-0.7547169811320642,-2.194000967585885
nov-11,2011-11,2011-11-01,74.5,78.8,,-1.5852047556142668,-0.12674271229405898,-1.4584620433202078
dic-11,2011-12,2011-12-01,75.5,79.4,,1.342281879194629,0.7614213197969733,0.5808605593976557
ene-12,2012-01,2012-01-01,76.7,80.3,,1.5894039735099286,1.1335012594458238,0.45590271406410476
feb-12,2012-02,2012-02-01,77.3,81.5,,0.7822685788787309,1.4943960149439661,-0.7121274360652352
mar-12,2012-03,2012-03-01,77.5,81.9,,0.2587322121604174,0.4907975460122671,-0.2320653338518497
abr-12,2012-04,2012-04-01,76.7,81.7,,-1.0322580645161228,-0.24420024420024333,-0.7880578203158795
may-12,2012-05,2012-05-01,76.7,82.0,,0.0,0.3671970624234966,-0.3671970624234966
jun-12,2012-06,2012-06-01,75.2,81.7,,-1.9556714471968717,-0.3658536585365857,-1.589817788660286
jul-12,2012-07,2012-07-01,75.2,81.8,,0.0,0.1223990208078174,-0.1223990208078174
ago-12,2012-08,2012-08-01,74.3,81.6,,-1.196808510638303,-0.24449877750611915,-0.9523097331321839
sept-12,2012-09,2012-09-01,74.3,81.7,,0.0,0.1225490196078427,-0.1225490196078427
oct-12,2012-10,2012-10-01,73.2,81.5,,-1.4804845222072593,-0.2447980416156681,-1.2356864805915913
nov-12,2012-11,2012-11-01,74.3,82.0,,1.5027322404371546,0.6134969325153339,0.8892353079218207
dic-12,2012-12,2012-12-01,76.0,82.6,,2.288021534320328,0.7317073170731714,1.5563142172471567
ene-13,2013-01,2013-01-01,78.7,83.6,,3.552631578947363,1.2106537530266248,2.341977825920738
feb-13,2013-02,2013-02-01,76.6,82.9,,-2.6683608640406753,-0.8373205741626699,-1.8310402898780054
mar-13,2013-03,2013-03-01,76.6,82.8,,0.0,-0.12062726176116367,0.12062726176116367
abr-13,2013-04,2013-04-01,77.0,83.0,,0.5221932114882533,0.24154589371980784,0.2806473177684454
may-13,2013-05,2013-05-01,76.0,82.7,,-1.2987012987012991,-0.3614457831325302,-0.937255515568769
jun-13,2013-06,2013-06-01,76.4,83.1,,0.5263157894736858,0.48367593712210777,0.04263985235157808
jul-13,2013-07,2013-07-01,76.8,83.6,,0.5235602094240788,0.6016847172081841,-0.07812450778410529
ago-13,2013-08,2013-08-01,78.0,84.1,,1.5625,0.5980861244019087,0.9644138755980913
sept-13,2013-09,2013-09-01,78.1,84.3,,0.12820512820512775,0.23781212841855748,-0.10960700021342973
oct-13,2013-10,2013-10-01,80.0,85.0,,2.432778489116516,0.8303677342823335,1.6024107548341826
